device: cuda | AMP: True
building validation set (20 batches x 1024) -- one-time scan of the PGN for held-out games...
  cached 20 validation batches (20480 positions)
step   10800 | lr 9.94e-04 | total 3.306 | policy 1.718 (acc 0.451) | value 0.486 | aux 1.1014 | 16650 pos/s
step   10900 | lr 9.94e-04 | total 3.277 | policy 1.692 (acc 0.458) | value 0.486 | aux 1.0984 | 16946 pos/s
step   11000 | lr 9.94e-04 | total 3.302 | policy 1.698 (acc 0.459) | value 0.498 | aux 1.1055 | 16836 pos/s
step   11100 | lr 9.94e-04 | total 3.299 | policy 1.714 (acc 0.454) | value 0.481 | aux 1.1040 | 16961 pos/s
step   11200 | lr 9.94e-04 | total 3.319 | policy 1.714 (acc 0.452) | value 0.494 | aux 1.1105 | 16257 pos/s
step   11300 | lr 9.93e-04 | total 3.331 | policy 1.701 (acc 0.455) | value 0.518 | aux 1.1121 | 16746 pos/s
step   11400 | lr 9.93e-04 | total 3.364 | policy 1.701 (acc 0.455) | value 0.546 | aux 1.1159 | 16514 pos/s
step   11500 | lr 9.93e-04 | total 3.334 | policy 1.715 (acc 0.454) | value 0.517 | aux 1.1031 | 17458 pos/s
step   11600 | lr 9.93e-04 | total 3.314 | policy 1.742 (acc 0.445) | value 0.466 | aux 1.1066 | 16901 pos/s
step   11700 | lr 9.93e-04 | total 3.324 | policy 1.725 (acc 0.450) | value 0.493 | aux 1.1055 | 15806 pos/s
step   11800 | lr 9.93e-04 | total 3.326 | policy 1.710 (acc 0.456) | value 0.512 | aux 1.1044 | 16500 pos/s
step   11900 | lr 9.93e-04 | total 3.283 | policy 1.695 (acc 0.459) | value 0.488 | aux 1.0993 | 17554 pos/s
step   12000 | lr 9.93e-04 | total 3.211 | policy 1.684 (acc 0.463) | value 0.442 | aux 1.0855 | 17630 pos/s
step   12100 | lr 9.92e-04 | total 3.274 | policy 1.695 (acc 0.460) | value 0.485 | aux 1.0942 | 16207 pos/s
step   12200 | lr 9.92e-04 | total 3.258 | policy 1.685 (acc 0.465) | value 0.491 | aux 1.0824 | 18127 pos/s
step   12300 | lr 9.92e-04 | total 3.233 | policy 1.684 (acc 0.463) | value 0.462 | aux 1.0866 | 16599 pos/s
step   12400 | lr 9.92e-04 | total 3.219 | policy 1.673 (acc 0.461) | value 0.456 | aux 1.0898 | 17152 pos/s
step   12500 | lr 9.92e-04 | total 3.222 | policy 1.671 (acc 0.463) | value 0.458 | aux 1.0934 | 15843 pos/s
step   12600 | lr 9.92e-04 | total 3.268 | policy 1.669 (acc 0.465) | value 0.504 | aux 1.0955 | 17025 pos/s
step   12700 | lr 9.92e-04 | total 3.319 | policy 1.688 (acc 0.461) | value 0.534 | aux 1.0971 | 16369 pos/s
step   12800 | lr 9.91e-04 | total 3.265 | policy 1.687 (acc 0.460) | value 0.484 | aux 1.0937 | 17460 pos/s
step   12900 | lr 9.91e-04 | total 3.258 | policy 1.696 (acc 0.456) | value 0.473 | aux 1.0894 | 17014 pos/s
step   13000 | lr 9.91e-04 | total 3.306 | policy 1.693 (acc 0.456) | value 0.521 | aux 1.0921 | 16992 pos/s
step   13100 | lr 9.91e-04 | total 3.313 | policy 1.697 (acc 0.453) | value 0.520 | aux 1.0967 | 16447 pos/s
step   13200 | lr 9.91e-04 | total 3.331 | policy 1.686 (acc 0.457) | value 0.545 | aux 1.0999 | 16897 pos/s
step   13300 | lr 9.91e-04 | total 3.345 | policy 1.678 (acc 0.461) | value 0.565 | aux 1.1021 | 17695 pos/s
step   13400 | lr 9.91e-04 | total 3.335 | policy 1.696 (acc 0.457) | value 0.545 | aux 1.0946 | 15959 pos/s
step   13500 | lr 9.90e-04 | total 3.348 | policy 1.702 (acc 0.454) | value 0.554 | aux 1.0924 | 18235 pos/s
step   13600 | lr 9.90e-04 | total 3.290 | policy 1.690 (acc 0.458) | value 0.511 | aux 1.0885 | 17255 pos/s
step   13700 | lr 9.90e-04 | total 3.257 | policy 1.694 (acc 0.458) | value 0.484 | aux 1.0792 | 17801 pos/s
step   13800 | lr 9.90e-04 | total 3.289 | policy 1.671 (acc 0.464) | value 0.533 | aux 1.0855 | 16058 pos/s
step   13900 | lr 9.90e-04 | total 3.324 | policy 1.668 (acc 0.464) | value 0.557 | aux 1.0982 | 16611 pos/s
step   14000 | lr 9.90e-04 | total 3.330 | policy 1.662 (acc 0.463) | value 0.564 | aux 1.1037 | 16486 pos/s
step   14100 | lr 9.89e-04 | total 3.328 | policy 1.665 (acc 0.466) | value 0.562 | aux 1.1009 | 16869 pos/s
step   14200 | lr 9.89e-04 | total 3.256 | policy 1.668 (acc 0.466) | value 0.503 | aux 1.0857 | 17453 pos/s
step   14300 | lr 9.89e-04 | total 3.254 | policy 1.677 (acc 0.465) | value 0.497 | aux 1.0802 | 17096 pos/s
step   14400 | lr 9.89e-04 | total 3.288 | policy 1.688 (acc 0.458) | value 0.508 | aux 1.0921 | 16681 pos/s
step   14500 | lr 9.89e-04 | total 3.284 | policy 1.669 (acc 0.464) | value 0.524 | aux 1.0912 | 17384 pos/s
step   14600 | lr 9.89e-04 | total 3.231 | policy 1.642 (acc 0.471) | value 0.499 | aux 1.0894 | 16812 pos/s
step   14700 | lr 9.88e-04 | total 3.224 | policy 1.641 (acc 0.474) | value 0.503 | aux 1.0801 | 16568 pos/s
step   14800 | lr 9.88e-04 | total 3.219 | policy 1.645 (acc 0.472) | value 0.499 | aux 1.0747 | 17044 pos/s
step   14900 | lr 9.88e-04 | total 3.231 | policy 1.667 (acc 0.464) | value 0.483 | aux 1.0822 | 17114 pos/s
step   15000 | lr 9.88e-04 | total 3.219 | policy 1.681 (acc 0.460) | value 0.459 | aux 1.0785 | 16458 pos/s
  [val] total 3.142 | policy 1.646 (acc 0.471) | value 0.437 | aux 1.0589
step   15100 | lr 9.88e-04 | total 3.153 | policy 1.653 (acc 0.468) | value 0.422 | aux 1.0789 | 17784 pos/s
step   15200 | lr 9.88e-04 | total 3.141 | policy 1.630 (acc 0.475) | value 0.437 | aux 1.0730 | 16996 pos/s
step   15300 | lr 9.87e-04 | total 3.107 | policy 1.622 (acc 0.476) | value 0.423 | aux 1.0615 | 17260 pos/s
step   15400 | lr 9.87e-04 | total 3.115 | policy 1.633 (acc 0.474) | value 0.427 | aux 1.0550 | 17737 pos/s
step   15500 | lr 9.87e-04 | total 3.195 | policy 1.668 (acc 0.462) | value 0.457 | aux 1.0710 | 16799 pos/s
step   15600 | lr 9.87e-04 | total 3.221 | policy 1.681 (acc 0.459) | value 0.463 | aux 1.0767 | 16239 pos/s
step   15700 | lr 9.87e-04 | total 3.167 | policy 1.652 (acc 0.467) | value 0.444 | aux 1.0704 | 17885 pos/s
step   15800 | lr 9.87e-04 | total 3.137 | policy 1.626 (acc 0.475) | value 0.437 | aux 1.0748 | 16366 pos/s
step   15900 | lr 9.86e-04 | total 3.130 | policy 1.609 (acc 0.478) | value 0.453 | aux 1.0682 | 17543 pos/s
step   16000 | lr 9.86e-04 | total 3.147 | policy 1.625 (acc 0.478) | value 0.459 | aux 1.0623 | 16853 pos/s
step   16100 | lr 9.86e-04 | total 3.245 | policy 1.654 (acc 0.468) | value 0.521 | aux 1.0707 | 16449 pos/s
step   16200 | lr 9.86e-04 | total 3.235 | policy 1.685 (acc 0.458) | value 0.479 | aux 1.0714 | 18749 pos/s
step   16300 | lr 9.86e-04 | total 3.221 | policy 1.670 (acc 0.463) | value 0.475 | aux 1.0765 | 16801 pos/s
step   16400 | lr 9.85e-04 | total 3.190 | policy 1.608 (acc 0.481) | value 0.511 | aux 1.0711 | 17236 pos/s
step   16500 | lr 9.85e-04 | total 3.202 | policy 1.582 (acc 0.486) | value 0.549 | aux 1.0706 | 16452 pos/s
step   16600 | lr 9.85e-04 | total 3.223 | policy 1.631 (acc 0.475) | value 0.517 | aux 1.0742 | 17339 pos/s
step   16700 | lr 9.85e-04 | total 3.210 | policy 1.640 (acc 0.471) | value 0.498 | aux 1.0720 | 17022 pos/s
step   16800 | lr 9.85e-04 | total 3.194 | policy 1.650 (acc 0.466) | value 0.466 | aux 1.0779 | 16797 pos/s
step   16900 | lr 9.84e-04 | total 3.145 | policy 1.649 (acc 0.467) | value 0.432 | aux 1.0640 | 17417 pos/s
step   17000 | lr 9.84e-04 | total 3.188 | policy 1.652 (acc 0.467) | value 0.476 | aux 1.0601 | 18061 pos/s
step   17100 | lr 9.84e-04 | total 3.218 | policy 1.613 (acc 0.479) | value 0.538 | aux 1.0664 | 17127 pos/s
step   17200 | lr 9.84e-04 | total 3.229 | policy 1.608 (acc 0.482) | value 0.553 | aux 1.0679 | 17360 pos/s
step   17300 | lr 9.84e-04 | total 3.189 | policy 1.638 (acc 0.469) | value 0.488 | aux 1.0634 | 17298 pos/s
step   17400 | lr 9.84e-04 | total 3.167 | policy 1.646 (acc 0.470) | value 0.463 | aux 1.0579 | 16961 pos/s
step   17500 | lr 9.83e-04 | total 3.129 | policy 1.637 (acc 0.469) | value 0.430 | aux 1.0622 | 17003 pos/s
step   17600 | lr 9.83e-04 | total 3.144 | policy 1.641 (acc 0.468) | value 0.441 | aux 1.0618 | 16678 pos/s
step   17700 | lr 9.83e-04 | total 3.156 | policy 1.655 (acc 0.463) | value 0.438 | aux 1.0632 | 17442 pos/s
step   17800 | lr 9.83e-04 | total 3.170 | policy 1.652 (acc 0.465) | value 0.451 | aux 1.0667 | 16137 pos/s
step   17900 | lr 9.82e-04 | total 3.209 | policy 1.641 (acc 0.470) | value 0.499 | aux 1.0687 | 17740 pos/s
step   18000 | lr 9.82e-04 | total 3.191 | policy 1.637 (acc 0.471) | value 0.491 | aux 1.0622 | 16823 pos/s
step   18100 | lr 9.82e-04 | total 3.177 | policy 1.633 (acc 0.470) | value 0.489 | aux 1.0545 | 18223 pos/s
step   18200 | lr 9.82e-04 | total 3.091 | policy 1.614 (acc 0.476) | value 0.436 | aux 1.0414 | 16496 pos/s
step   18300 | lr 9.82e-04 | total 3.135 | policy 1.636 (acc 0.470) | value 0.438 | aux 1.0617 | 17853 pos/s
step   18400 | lr 9.81e-04 | total 3.184 | policy 1.644 (acc 0.468) | value 0.470 | aux 1.0698 | 16601 pos/s
step   18500 | lr 9.81e-04 | total 3.213 | policy 1.649 (acc 0.464) | value 0.491 | aux 1.0726 | 17712 pos/s
step   18600 | lr 9.81e-04 | total 3.228 | policy 1.625 (acc 0.473) | value 0.531 | aux 1.0722 | 16652 pos/s
step   18700 | lr 9.81e-04 | total 3.223 | policy 1.628 (acc 0.472) | value 0.525 | aux 1.0689 | 17995 pos/s
step   18800 | lr 9.81e-04 | total 3.176 | policy 1.637 (acc 0.471) | value 0.483 | aux 1.0561 | 16917 pos/s
step   18900 | lr 9.80e-04 | total 3.112 | policy 1.605 (acc 0.480) | value 0.463 | aux 1.0440 | 17393 pos/s
step   19000 | lr 9.80e-04 | total 3.119 | policy 1.623 (acc 0.474) | value 0.443 | aux 1.0535 | 16273 pos/s
step   19100 | lr 9.80e-04 | total 3.156 | policy 1.610 (acc 0.476) | value 0.484 | aux 1.0618 | 16901 pos/s
step   19200 | lr 9.80e-04 | total 3.186 | policy 1.612 (acc 0.475) | value 0.502 | aux 1.0727 | 16312 pos/s
step   19300 | lr 9.79e-04 | total 3.204 | policy 1.591 (acc 0.482) | value 0.541 | aux 1.0725 | 16771 pos/s
